Make_Year,Brand,Transmission,xMiles,Price,Owner_Count,Engine_cc,Fuel_Type,Color,Service_History,Accidents_Reported,Insurance_Valid,MileageCategory,Mileage
2012,Honda,Manual,25,"$7,306 ",4,"1,800",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"25,130"
2012,Honda,Manual,18,"$4,597 ",4,"1,200",Petrol,Red,Full,0,Yes,Between 10k and 20k,"17,840"
2012,Volkswagen,Manual,16,"$4,585 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"15,890"
2013,Toyota,Manual,15,"$5,794 ",4,"1,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"15,030"
2013,Nissan,Manual,19,"$5,624 ",4,"1,800",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"19,450"
2013,Nissan,Manual,17,"$7,635 ",4,"2,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"16,760"
2013,Nissan,Manual,19,"$9,699 ",4,"3,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"18,660"
2014,BMW,Manual,18,"$8,363 ",4,"3,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"18,270"
2014,Kia,Manual,23,"$6,911 ",4,"1,800",Petrol,White,Full,0,Yes,Between 20k and 30k,"22,510"
2014,Hyundai,Manual,5,"$5,296 ",4,"3,000",Petrol,Blue,Full,0,Yes,Less than 10k,"5,000"
2014,Honda,Manual,13,"$5,001 ",4,"1,800",Petrol,Red,Full,0,Yes,Between 10k and 20k,"13,490"
2015,Honda,Manual,25,"$8,651 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"24,650"
2015,Chevrolet,Manual,17,"$7,358 ",4,"2,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"17,170"
2015,Toyota,Manual,11,"$8,966 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"11,380"
2016,Toyota,Manual,21,"$7,391 ",4,"1,500",Petrol,White,Full,0,Yes,Between 20k and 30k,"21,270"
2016,Kia,Manual,14,"$4,755 ",4,"1,200",Petrol,White,Full,0,Yes,Between 10k and 20k,"13,730"
2016,Chevrolet,Manual,18,"$5,180 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"18,220"
2016,Nissan,Manual,10,"$4,824 ",4,"1,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"10,480"
2017,Volkswagen,Manual,15,"$7,972 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"14,660"
2017,BMW,Manual,15,"$5,882 ",4,"1,500",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"15,470"
2017,Ford,Manual,22,"$5,096 ",4,"1,000",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"22,360"
2018,Kia,Manual,24,"$9,105 ",4,"2,500",Petrol,Black,Full,0,Yes,Between 20k and 30k,"24,080"
2018,Hyundai,Manual,14,"$7,219 ",4,"2,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"13,510"
2018,Toyota,Manual,14,"$6,247 ",4,"1,800",Petrol,White,Full,0,Yes,Between 10k and 20k,"14,160"
2019,Hyundai,Manual,25,"$7,261 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"24,620"
2019,Chevrolet,Manual,18,"$5,878 ",4,"1,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"18,310"
2019,Hyundai,Manual,24,"$5,694 ",4,800,Petrol,Silver,Full,0,Yes,Between 20k and 30k,"24,060"
2019,Volkswagen,Manual,22,"$8,445 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"21,500"
2020,Hyundai,Manual,14,"$7,100 ",4,"1,500",Petrol,Black,Full,0,Yes,Between 10k and 20k,"13,520"
2020,Honda,Manual,21,"$7,195 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"20,960"
2020,BMW,Manual,10,"$5,662 ",4,"1,800",Petrol,Blue,Full,0,Yes,Less than 10k,"9,700"
2020,Ford,Manual,15,"$6,392 ",4,800,Petrol,Blue,Full,0,Yes,Between 10k and 20k,"15,450"
2020,Hyundai,Manual,22,"$8,612 ",4,"2,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"21,840"
2021,Volkswagen,Manual,16,"$8,149 ",4,"2,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,560"
2021,Toyota,Manual,16,"$5,921 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,670"
2021,BMW,Manual,6,"$4,444 ",4,800,Petrol,Black,Full,0,Yes,Less than 10k,"5,830"
2021,Honda,Manual,20,"$6,659 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 20k and 30k,"20,170"
2022,Volkswagen,Manual,22,"$6,450 ",4,"1,000",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"22,040"
2022,BMW,Manual,25,"$9,194 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"25,090"
2023,Toyota,Manual,11,"$7,976 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"10,720"
2023,Toyota,Manual,17,"$9,253 ",4,"2,500",Petrol,White,Full,0,Yes,Between 10k and 20k,"17,110"
2023,Ford,Manual,22,"$9,519 ",4,"1,800",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"22,270"
2023,Hyundai,Manual,32,"$8,173 ",4,"1,500",Petrol,White,Full,0,Yes,More than 30k,"31,720"
2023,Ford,Manual,20,"$4,839 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"20,140"
1995,Toyota,Automatic,13,"$4,052 ",4,"1,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"13,490"
1995,Chevrolet,Automatic,28,"$4,759 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"27,700"
1995,Toyota,Automatic,21,"$6,541 ",4,"3,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"21,450"
1995,Ford,Automatic,10,"$4,206 ",4,"4,000",Petrol,Black,Full,0,Yes,Less than 10k,"9,710"
1996,Toyota,Automatic,19,"$2,213 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"18,830"
1996,Toyota,Automatic,16,"$6,161 ",4,"4,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"15,520"
1997,BMW,Automatic,16,"$6,382 ",4,"4,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"16,140"
1998,Hyundai,Automatic,18,"$1,953 ",4,800,Petrol,Gray,Full,0,Yes,Between 10k and 20k,"18,100"
1998,Hyundai,Automatic,24,"$8,318 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 20k and 30k,"24,040"
1998,Chevrolet,Automatic,19,"$4,583 ",4,"2,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"19,240"
1998,Ford,Automatic,16,"$4,343 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"16,360"
1999,Chevrolet,Automatic,15,"$2,402 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"15,360"
1999,Toyota,Automatic,10,"$3,791 ",4,"1,800",Petrol,Gray,Full,0,Yes,Less than 10k,"9,660"
1999,Hyundai,Automatic,11,"$3,102 ",4,"1,800",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"10,670"
1999,Volkswagen,Automatic,16,"$9,407 ",4,"5,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,910"
2000,Volkswagen,Automatic,18,"$4,016 ",4,"1,200",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"17,960"
2000,Nissan,Automatic,16,"$6,264 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 10k and 20k,"15,580"
2000,Ford,Automatic,15,"$3,623 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 10k and 20k,"14,880"
2001,Toyota,Automatic,18,"$3,695 ",4,"1,500",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"18,170"
2001,Nissan,Automatic,17,"$4,670 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"17,220"
2001,Chevrolet,Automatic,21,"$5,057 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 20k and 30k,"20,670"
2002,Kia,Automatic,13,"$9,491 ",4,"5,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"12,780"
2003,Hyundai,Automatic,27,"$5,336 ",4,"1,200",Petrol,White,Full,0,Yes,Between 20k and 30k,"27,340"
2003,Kia,Automatic,16,"$5,930 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"16,180"
2003,Volkswagen,Automatic,17,"$2,839 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 10k and 20k,"16,990"
2005,Hyundai,Automatic,19,"$5,855 ",4,800,Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,420"
2005,Volkswagen,Automatic,6,"$1,740 ",4,"1,000",Petrol,Blue,Full,0,Yes,Less than 10k,"6,310"
2005,Toyota,Automatic,17,"$3,858 ",4,"1,200",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"16,590"
2006,Chevrolet,Automatic,8,"$4,556 ",4,"1,800",Petrol,Black,Full,0,Yes,Less than 10k,"7,690"
2006,Chevrolet,Automatic,26,"$6,878 ",4,"1,800",Petrol,Red,Full,0,Yes,Between 20k and 30k,"25,900"
2006,Toyota,Automatic,13,"$5,656 ",4,"1,500",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"12,980"
2007,Volkswagen,Automatic,15,"$4,729 ",4,800,Petrol,Black,Full,0,Yes,Between 10k and 20k,"15,380"
2007,Nissan,Automatic,17,"$4,760 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,610"
2007,Kia,Automatic,12,"$2,367 ",4,"1,200",Petrol,White,Full,0,Yes,Between 10k and 20k,"12,380"
2007,Volkswagen,Automatic,18,"$3,464 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"18,190"
2007,Kia,Automatic,23,"$4,780 ",4,"1,200",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"22,950"
2007,BMW,Automatic,15,"$3,845 ",4,800,Petrol,Gray,Full,0,Yes,Between 10k and 20k,"14,770"
2008,Kia,Automatic,20,"$5,159 ",4,"1,200",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"20,360"
2008,Ford,Automatic,10,"$4,365 ",4,"1,200",Petrol,White,Full,0,Yes,Less than 10k,"9,940"
2008,Chevrolet,Automatic,12,"$6,542 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"12,290"
2008,Toyota,Automatic,14,"$4,037 ",4,800,Petrol,Black,Full,0,Yes,Between 10k and 20k,"14,110"
2009,Honda,Automatic,22,"$7,730 ",4,"1,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"22,330"
2009,Nissan,Automatic,19,"$2,481 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"19,320"
2009,Nissan,Automatic,15,"$8,561 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"14,520"
2009,Volkswagen,Automatic,10,"$3,392 ",4,800,Petrol,Gray,Full,0,Yes,Less than 10k,"9,720"
2010,Volkswagen,Automatic,24,"$7,251 ",4,"3,000",Petrol,Red,Full,0,Yes,Between 20k and 30k,"23,920"
2010,Toyota,Automatic,13,"$4,108 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"12,820"
2010,Ford,Automatic,21,"$6,933 ",4,"2,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"21,170"
2011,Nissan,Automatic,14,"$3,382 ",4,800,Petrol,Blue,Full,0,Yes,Between 10k and 20k,"14,350"
2012,Nissan,Automatic,8,"$9,138 ",4,"5,000",Petrol,White,Full,0,Yes,Less than 10k,"8,460"
2012,Toyota,Automatic,19,"$7,777 ",4,"2,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,220"
2012,Toyota,Automatic,18,"$5,613 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"17,590"
2012,Kia,Automatic,27,"$8,515 ",4,"1,200",Petrol,White,Full,0,Yes,Between 20k and 30k,"26,670"
2012,Volkswagen,Automatic,17,"$6,988 ",4,"2,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"17,230"
2012,Volkswagen,Automatic,20,"$8,100 ",4,"3,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"19,960"
2013,Toyota,Automatic,33,"$6,671 ",4,"1,000",Petrol,Gray,Full,0,Yes,More than 30k,"33,070"
2013,Ford,Automatic,11,"$5,411 ",4,"1,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"11,120"
2013,Toyota,Automatic,20,"$2,855 ",4,"1,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"19,510"
2013,Ford,Automatic,14,"$7,170 ",4,"2,500",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"13,650"
2013,Hyundai,Automatic,28,"$6,131 ",4,"1,800",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"27,910"
2014,Hyundai,Automatic,12,"$9,551 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"12,100"
2016,BMW,Automatic,17,"$6,140 ",4,"2,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"17,090"
2016,BMW,Automatic,17,"$6,234 ",4,"2,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"17,160"
2016,Volkswagen,Automatic,22,"$6,430 ",4,"1,200",Petrol,Black,Full,0,Yes,Between 20k and 30k,"22,350"
2017,BMW,Automatic,23,"$4,572 ",4,"1,200",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"22,510"
2017,Kia,Automatic,20,"$5,178 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 20k and 30k,"20,120"
2018,Hyundai,Automatic,18,"$5,186 ",4,"1,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"18,230"
2018,Volkswagen,Automatic,24,"$7,808 ",4,"1,000",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"23,760"
2018,Nissan,Automatic,25,"$9,542 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"24,830"
2018,Hyundai,Automatic,23,"$5,496 ",4,800,Petrol,White,Full,0,Yes,Between 20k and 30k,"23,030"
2019,Nissan,Automatic,21,"$8,751 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"21,380"
2019,Toyota,Automatic,20,"$8,055 ",4,"3,000",Petrol,White,Full,0,Yes,Between 20k and 30k,"20,240"
2020,BMW,Automatic,19,"$7,013 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,420"
2020,Volkswagen,Automatic,9,"$7,169 ",4,"1,800",Petrol,Blue,Full,0,Yes,Less than 10k,"9,410"
2020,Volkswagen,Automatic,29,"$7,332 ",4,"1,800",Petrol,Red,Full,0,Yes,Between 20k and 30k,"28,790"
2020,Nissan,Automatic,12,"$6,742 ",4,"1,200",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"12,170"
2022,Nissan,Automatic,23,"$9,118 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"23,400"
2022,Chevrolet,Automatic,16,"$4,324 ",4,800,Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,930"
2022,Ford,Automatic,22,"$6,757 ",4,"1,200",Petrol,White,Full,0,Yes,Between 20k and 30k,"22,300"
1995,Nissan,Manual,21,"$1,488 ",2,800,Petrol,White,Full,0,Yes,Between 20k and 30k,"20,600"
1995,Hyundai,Automatic,17,"$5,393 ",2,"2,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"17,190"
1995,Hyundai,Manual,17,"$7,683 ",2,"3,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"17,260"
1995,Ford,Manual,22,"$5,182 ",2,"1,200",Petrol,Black,Full,0,Yes,Between 20k and 30k,"22,230"
1995,Kia,Manual,19,"$7,356 ",2,"5,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"18,860"
1995,Kia,Manual,18,"$3,553 ",2,"1,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"17,610"
1995,Nissan,Manual,16,"$4,705 ",2,"1,800",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,960"
1995,Toyota,Manual,17,"$4,163 ",2,"1,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"17,090"
1996,Kia,Manual,20,"$5,734 ",2,"2,500",Petrol,Red,Full,0,Yes,Between 20k and 30k,"20,310"
1996,Chevrolet,Automatic,27,"$5,996 ",2,"2,000",Petrol,Black,Full,0,Yes,Between 20k and 30k,"27,050"
1996,Ford,Manual,13,"$7,872 ",2,"5,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"12,590"
1996,Chevrolet,Automatic,16,"$4,880 ",2,"1,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"16,130"
1996,Toyota,Manual,22,"$7,646 ",2,"4,000",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"22,150"
1997,Toyota,Manual,16,"$4,865 ",2,"1,200",Petrol,Black,Full,0,Yes,Between 10k and 20k,"15,780"
1997,Ford,Automatic,19,"$5,212 ",2,"2,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,470"
1997,Toyota,Automatic,22,"$5,885 ",2,"1,500",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"22,450"
1997,Chevrolet,Manual,23,"$6,816 ",2,"2,500",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"23,070"
1997,Hyundai,Manual,17,"$7,496 ",2,"4,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"16,580"
1997,Hyundai,Manual,16,"$4,047 ",2,"1,500",Petrol,Black,Full,0,Yes,Between 10k and 20k,"16,440"
1997,Toyota,Automatic,23,"$6,172 ",2,"2,000",Petrol,Red,Full,0,Yes,Between 20k and 30k,"23,340"
1997,Ford,Manual,20,"$5,183 ",2,"1,800",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"20,410"
